batch,seq_len,ffn_hidden,variant,latency_ms,speedup_vs_unfused_INT4
2,4096,11008,full_fused_current,1.2058570384979248,8.731439981024428
2,4096,11008,full_fused_hadacore256_ffn,1.2139527002970378,8.673211365454538
2,4096,11008,full_fused_hadacore256_k3_ffn,1.2082110246022542,8.714428310076563
2,4096,14336,quarot_unfused,8.968179066975912,1.0
2,4096,14336,k1_fused,7.939309438069661,1.1295918287266564
2,4096,14336,k1_k2_fused,3.5074869791666665,2.5568673868909517
2,4096,14336,attention_fused_current,2.746286392211914,3.265565853731941
2,4096,14336,attention_fused_hadacore256,1.8475693066914876,4.854042029435729
2,4096,14336,full_fused_current,1.3158796628316243,6.8153489413138315
2,4096,14336,full_fused_hadacore256_ffn,1.3217750390370686,6.7849511468376305
2,4096,14336,full_fused_hadacore256_k3_ffn,3.017902056376139,2.97166008022964
4,10,11008,quarot_unfused,5.290582656860352,1.0
4,10,11008,k1_fused,3.121885617574056,1.6946753676938167
4,10,11008,k1_k2_fused,3.309875806172689,1.5984233145527036
4,10,11008,attention_fused_current,1.7120760281880696,3.090156377260594
4,10,11008,attention_fused_hadacore256,1.6423009236653645,3.2214453396595433
4,10,11008,full_fused_current,1.0029966831207275,5.274775825179415
4,10,11008,full_fused_hadacore256_ffn,1.3413662910461426,3.944174452702388
4,10,11008,full_fused_hadacore256_k3_ffn,1.282607634862264,4.124864465997424
4,10,14336,quarot_unfused,4.363810221354167,1.0
4,10,14336,k1_fused,2.564168930053711,1.7018419380281469
4,10,14336,k1_k2_fused,2.376988410949707,1.8358567510266661
4,10,14336,attention_fused_current,1.6539456049601238,2.6384242675619176
4,10,14336,attention_fused_hadacore256,1.6483516693115234,2.647378167291707
4,10,14336,full_fused_current,1.1120596726735432,3.9240791915985693
4,10,14336,full_fused_hadacore256_ffn,1.1119840145111084,3.924346181606529
4,10,14336,full_fused_hadacore256_k3_ffn,1.1114726861317952,3.9261515607201516
4,128,11008,quarot_unfused,12.549418131510416,1.0
4,128,11008,k1_fused,3.2541348139444985,3.8564530509719854
4,128,11008,k1_k2_fused,2.4238109588623047,5.177556478002269
4,128,11008,attention_fused_current,1.722338040669759,7.286268917703502
4,128,11008,attention_fused_hadacore256,1.8132975896199544,6.920771418518582
4,128,11008,full_fused_current,1.2586030165354412,9.970910578345206
4,128,11008,full_fused_hadacore256_ffn,1.2720773220062256,9.865295068477762
4,128,11008,full_fused_hadacore256_k3_ffn,1.1589503288269043,10.828262281277407
4,128,14336,quarot_unfused,4.435201962788899,1.0
4,128,14336,k1_fused,2.545686403910319,1.7422420750553476
4,128,14336,k1_k2_fused,2.3446906407674155,1.891593665140089
4,128,14336,attention_fused_current,1.6408543586730957,2.702983320454778
4,128,14336,attention_fused_hadacore256,1.6463637351989746,2.6939380818254444
4,128,14336,full_fused_current,1.1215436458587646,3.954551371376074
4,128,14336,full_fused_hadacore256_ffn,1.1191542943318684,3.9629941869960845
4,128,14336,full_fused_hadacore256_k3_ffn,1.1196893056233723,3.9611005843443854
4,1024,11008,quarot_unfused,5.565605163574219,1.0
4,1024,11008,k1_fused,4.492515563964844,1.2388616320479313
4,1024,11008,k1_k2_fused,3.2079121271769204,1.7349618514869216
4,1024,11008,attention_fused_current,1.8339552879333496,3.0347551001889457
4,1024,11008,attention_fused_hadacore256,1.685602029164632,3.301850061448062
4,1024,11008,full_fused_current,1.3530149459838867,4.113483875469695
4,1024,11008,full_fused_hadacore256_ffn,1.0534526507059734,5.283203910346058
